Season,Date,Nitrosomonadaceae_Ga0191921,Nitrosomonadaceae_Ga0191945,Nitrosomonadaceae_Ga0191958,Nitrotoga_Ga0191879,Nitrotoga_Ga0191163,Nitrotoga_Ga0191928,Nitrotoga_Ga0191027,Nitrotoga_Ga0191125
Summer,2010-07-16,0.632775,3.1621353,1.53285,0.480043,0.0866051,1.16126,0.480043,1.16126
Summer,2010-07-27,6.9851494,7.0725282,4.0407978,1.23699852,0.0575443,3.0329009,1.23699852,2.98442
Summer,2010-08-05,0.97635,5.44635,2.75281049,0.849842,0.124711,2.1464681,0.849842,2.089229
Summer,2010-08-17,1.146438,3.59442,1.8085229,0.608622,0.0288684,1.4890045,0.608622,1.4890045
Summer,2010-08-30,0.163859,3.13642,1.59906,0.5930193,0.033776,1.3639992,0.541912,1.31093
Summer,2010-08-31,2.28618,4.3752893,2.1558297,0.821541,0.0343533,2.0271129,0.821541,2.0271129
Summer,2010-09-14,0,1.98804,0.92709,0.345259,0.0454196,0.83521,0.345259,0.83521
Fall,2010-09-26,0.0540025,3.20662,1.59732,0.62639649,0.087336,1.45129766,0.57941899,1.389488
Fall,2010-10-13,0.4088269,5.90251,3.0236446,1.09661,0.141359,2.66236151,1.09661,2.66236151
Fall,2010-10-29,3.4845711,24.946,13.24514835,7.03603356,0.73366234,15.7573968,6.51368856,15.3123363
Fall,2010-10-29,0,4.38259,2.36356,1.33847142,0.17799383,2.34522866,0.89237502,2.16164866
Fall,2010-11-19,0.0762453,6.7507521,3.2579336,1.09897999,0.22286863,2.4850644,1.06065599,2.4586029
Spring,2011-05-03,0,4.33323,2.1301698,2.01295531,0.73162271,2.3646904,1.07018141,1.7269878
Spring,2011-05-18,0.0265906,4.0141,2.04109739,1.12726068,0.41049621,2.2898022,0.86928508,1.6539097
Spring,2011-06-01,0.7807106,3.857531,2.1133331,0.6251337,0.106332,1.5239719,0.6251337,1.47151
Spring,2011-06-13,0.4875101,7.3315525,3.8141344,1.2219764,0.14261,2.903572,1.1823986,2.8144719
Summer,2011-06-28,1.84074271,7.564815,4.479106,0.84972352,0.0495574,2.5062047,1.04717552,2.4020377
Summer,2011-07-12,5.7546587,6.4386655,7.4291279,0.8800904,0.123941,2.142267,0.8800904,2.10042
Summer,2011-07-25,3.3984731,11.1233985,7.4747428,1.8749516,0.1446986,4.50529,1.8749516,4.50529
Summer,2011-08-09,0.729058,5.0074704,3.284976,1.13333,0.125,2.7873622,1.13333,2.74161
Summer,2011-08-22,2.9481325,10.714031,6.7036755,2.523495,0.3949915,6.0338954,2.48742,6.0676754
Summer,2011-09-04,0.733937,5.218851,2.95678,0.899911,0.637317,2.1982177,0.899911,2.1982177
Fall,2011-09-21,0.8682103,5.0206649,2.5150437,1.030184,0.3118219,2.3626097,0.9603019,2.3164337
Fall,2011-10-03,0.71484203,5.2912108,2.8909032,1.01142,0.330639,2.4836656,1.01142,2.4634145
Fall,2011-11-01,0.2366539,3.14899,1.5838348,0.86660545,0.2218175,1.6890979,0.65539055,1.4517686
Fall,2011-11-30,2.2110666,8.1085735,5.4332922,2.14567222,0.55045784,3.9128268,1.66382383,3.3462118
Winter,2012-03-05,18.817759,12.0952972,19.3513283,5.32728824,1.7657908,7.24565483,2.46632084,3.3744676
Spring,2012-04-02,3.4148859,4.7774866,4.5133039,4.42291784,1.2473908,5.62080239,2.07502197,2.39246578
Spring,2012-05-05,1.0201159,11.0552134,5.420982,1.81855869,0.20113009,4.18788,1.76987639,4.2063
Spring,2012-05-17,2.6206517,7.217251,3.6090653,1.2249378,0.149248,3.116468,1.2249378,2.9566445
Spring,2012-06-02,1.924415,5.08185,2.63309,0.98914,0.104696,2.39281,0.98914,2.39281
Spring,2012-06-08,1.77667,6.2385317,3.3004555,1.20723,0.251828,2.9546053,1.20723,2.92039
Spring,2012-06-15,0.9766048,9.78112,5.28992629,1.99238,0.4515447,4.8824946,1.99238,4.8464196
Summer,2012-06-22,0.1646615,10.638,5.2775166,2.09078698,0.2658847,5.2306146,1.63119982,5.0463091
Summer,2012-06-29,0.2194308,13.061129,6.68116023,2.6848393,0.148287,6.46958,2.6848393,6.46958
Summer,2012-07-06,0.0626479,10.1694411,5.13265,2.04742821,0.117975,4.93211,2.04742821,4.93211
Summer,2012-07-13,0.4072711,9.758161,5.11173893,2.2751159,0.0713049,5.5895695,2.2751159,5.5201034
Summer,2012-07-17,0.506823,5.8529755,3.26444,1.23567,0.0780408,2.9892,1.23567,2.9892
Summer,2012-07-20,0.6952401,13.2713,6.8021404,3.39576584,0.141359,8.217674,3.39576584,8.16354
Summer,2012-08-03,3.17430972,9.5794171,6.23088213,2.25912487,0.1809367,5.4977828,2.25912487,5.42409
Summer,2012-08-17,1.9856453,8.756192,4.68972936,1.5082315,0.0802973,3.55385,1.4885516,3.57159
Summer,2012-08-24,1.7344699,5.5759535,2.92310379,1.0095806,0.0901655,2.41458316,1.0095806,2.41458316
Summer,2012-08-31,1.8753532,8.5718039,4.3531819,1.5243119,0.1510356,3.7026945,1.5243119,3.7026945
Summer,2012-09-07,1.3679741,8.00778617,4.7893966,1.54553,0.08608408,3.878145,1.54553,3.73877
Summer,2012-09-13,1.8963024,5.4523786,3.53962409,0.86218552,0.0368424,1.9468585,0.82199262,1.9468585
Summer,2012-09-21,1.0888029,6.248036,3.4799715,1.38187768,0.156851,3.2280622,1.34985378,3.16615
Fall,2012-09-27,2.3145589,5.198676,4.4133658,0.828076,0.0572556,2.00318,0.828076,2.00318
Fall,2012-10-08,3.1412669,4.13206422,2.5229369,0.631376,0.0357005,1.52735,0.631376,1.52735
Fall,2012-10-12,4.699614,3.92428,2.6890302,0.6870286,0.1011836,1.6398435,0.6870286,1.6398435
Fall,2012-10-22,3.8642893,3.7647491,2.3450774,0.725354,0,1.73297,0.725354,1.75003
Fall,2012-10-26,3.8095023,7.9008878,5.67079829,1.91787565,0.0667821,4.5133456,1.86759075,4.5272145
Fall,2012-11-05,0.3542908,6.29675,3.28932454,1.26620498,0.2953642,2.99261,1.26620498,2.99261
Fall,2012-11-09,0.5662353,5.091848,2.5515866,0.92427435,0.1864627,2.1335558,0.92427435,2.1506158
Fall,2012-11-16,0.3264769,6.0634919,3.2884403,1.34286006,0.2571243,3.2544698,1.30063216,3.01262
